prices,market_caps,total_volumes,datetime,year,month,day,id,ticker
6267.76870877378,107788817699.53123,6619548180.387301,2018-08-16 00:00:00,2018,8,16,bitcoin,BTC
6309.385226218996,108578823549.00035,5982589406.965,2018-08-17 00:00:00,2018,8,17,bitcoin,BTC
6566.715163377382,113018605465.47177,6206194158.951437,2018-08-18 00:00:00,2018,8,18,bitcoin,BTC
6382.0605914076095,109889851531.17278,5616965845.869809,2018-08-19 00:00:00,2018,8,19,bitcoin,BTC
6475.494019667379,111490970656.3322,5160365103.111909,2018-08-20 00:00:00,2018,8,20,bitcoin,BTC
6242.8824384007985,107511643840.85838,5578292470.702208,2018-08-21 00:00:00,2018,8,21,bitcoin,BTC
6467.271730309675,111399689881.15749,5658517103.312642,2018-08-22 00:00:00,2018,8,22,bitcoin,BTC
6336.6563271087025,109149076720.34018,6759411527.692144,2018-08-23 00:00:00,2018,8,23,bitcoin,BTC
6521.065718268509,112327439428.77159,6096332849.286637,2018-08-24 00:00:00,2018,8,24,bitcoin,BTC
6684.379144206679,115177527171.81319,6913767387.863615,2018-08-25 00:00:00,2018,8,25,bitcoin,BTC
6736.036057516459,116073397012.0424,5280060347.564506,2018-08-26 00:00:00,2018,8,26,bitcoin,BTC
6728.2880026290095,115406552890.99017,5215045899.16829,2018-08-27 00:00:00,2018,8,27,bitcoin,BTC
6911.096028949572,118546009735.9248,5444349729.346103,2018-08-28 00:00:00,2018,8,28,bitcoin,BTC
7075.9834051051,121992306938.18849,6246602891.545194,2018-08-29 00:00:00,2018,8,29,bitcoin,BTC
7046.748947280631,121479639297.29665,5976493148.705724,2018-08-30 00:00:00,2018,8,30,bitcoin,BTC
7024.14510718162,121103237785.70247,6587864491.268964,2018-08-31 00:00:00,2018,8,31,bitcoin,BTC
7027.631279401852,121186316787.30235,5959884320.762271,2018-09-01 00:00:00,2018,9,1,bitcoin,BTC
7211.270767868822,124380655386.09407,6257915213.839819,2018-09-02 00:00:00,2018,9,2,bitcoin,BTC
7305.272801003753,125994361368.72597,6640164154.549976,2018-09-03 00:00:00,2018,9,3,bitcoin,BTC
7260.897516647864,125200923805.39091,4511643009.568316,2018-09-04 00:00:00,2018,9,4,bitcoin,BTC
7359.462992923027,126949626755.787,5344233220.454348,2018-09-05 00:00:00,2018,9,5,bitcoin,BTC
6764.926773778225,116602093876.15263,7036065651.078336,2018-09-06 00:00:00,2018,9,6,bitcoin,BTC
6498.2796126096555,112034863191.16696,6558109770.577363,2018-09-07 00:00:00,2018,9,7,bitcoin,BTC
6397.81887024023,110396118506.89438,4422971841.981781,2018-09-08 00:00:00,2018,9,8,bitcoin,BTC
6181.19445075213,106668555553.51491,3851077568.004001,2018-09-09 00:00:00,2018,9,9,bitcoin,BTC
6260.764806062476,108219061918.52274,4174629547.594032,2018-09-10 00:00:00,2018,9,10,bitcoin,BTC
6308.135474616629,108846231385.41852,4504626593.565221,2018-09-11 00:00:00,2018,9,11,bitcoin,BTC
6278.917069628559,108449181464.89592,5001529025.0324745,2018-09-12 00:00:00,2018,9,12,bitcoin,BTC
6330.574238022664,109298582014.21779,5026516732.831187,2018-09-13 00:00:00,2018,9,13,bitcoin,BTC
6486.461630393616,112124461661.13242,4987196751.843109,2018-09-14 00:00:00,2018,9,14,bitcoin,BTC
6500.01225461663,112334356298.05247,5350596522.1363,2018-09-15 00:00:00,2018,9,15,bitcoin,BTC
6530.221146234664,112796085614.54744,4295951323.506035,2018-09-16 00:00:00,2018,9,16,bitcoin,BTC
